2022-11-01 06:11:22.0981 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.1132 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.1293 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.1443 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.1599 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.1754 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.2077 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.2082 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.2370 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.2526 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.2682 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.2838 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.2989 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.3141 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.3297 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.3453 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.3609 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.3765 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.3916 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.4229 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.4385 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.4535 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.4687 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.4842 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.4994 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.5151 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.5312 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.5458 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.5619 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.5770 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.5926 [INFO; Root]  Collision Updated
2022-11-01 06:11:22.6082 [INFO; Root]  collision Lost
2022-11-01 06:11:22.9974 [INFO; Root]  OnOverlap
2022-11-01 06:11:25.3428 [INFO; Root]  Collision StartedTrue   False
