2022-08-10 16:23:38.0438 [INFO; Reactor.Server]  Loaded KSServerRuntime.Local.dll
2022-08-10 16:23:38.0845 [INFO; Root]  Loaded config.json
2022-08-10 16:23:38.0855 [INFO; Root]  Loaded config.GameScene.json
2022-08-10 16:23:38.0970 [INFO; Root]  KinematicSoup Technologies Inc.
2022-08-10 16:23:38.0970 [INFO; Root]  Reactor Server v0.10.0
2022-08-10 16:23:38.0970 [DEBUG; Root]  Could not open model file: model.bin. Compression will use the default model for sync transforms, and dynamic models for update transforms.
2022-08-10 16:23:38.0990 [INFO; Reactor.Server]  Missing API configuration. PlayerAPI features disabled.
2022-08-10 16:23:38.1240 [DEBUG; Root]  Loading Asset Scripts
2022-08-10 16:23:38.1279 [DEBUG; Root]  Loading Room Configs
2022-08-10 16:23:38.1371 [DEBUG; Root]  Initializing PhysX
2022-08-10 16:23:38.1783 [DEBUG; Root]  Loading PhysX geometry
2022-08-10 16:23:38.2033 [INFO; Root]  Loaded 8 geometries
2022-08-10 16:23:38.2053 [INFO; Root]  Loaded 2 geometries
2022-08-10 16:23:38.2053 [DEBUG; Root]  Loading entity prefabs
2022-08-10 16:23:38.2356 [INFO; Root]  Loaded 5 entity prefabs
2022-08-10 16:23:38.2356 [DEBUG; Root]  Loading entity instances
2022-08-10 16:23:38.2659 [DEBUG; Root]  Initializing scripts
2022-08-10 16:23:38.2789 [DEBUG; Root]  Room setup complete
2022-08-10 16:23:38.2789 [INFO; Reactor.ServerRoom]  Starting room 1
2022-08-10 16:23:38.2789 [INFO; Root]  Sending client updates every 2 frames
2022-08-10 16:23:38.2789 [INFO; Root]  Attempting to sync simulation time to match elapsed time.
2022-08-10 16:23:38.2799 [INFO; Root]  Opening TCP port 8000
2022-08-10 16:23:44.5948 [INFO; Root]  Client(id = 1, address = 10.6.167.25) connected
2022-08-10 16:23:44.6050 [DEBUG; Root]  Client(id = 1, address = 10.6.167.25) model validated
2022-08-10 16:23:44.6502 [DEBUG; Root]  Client(id = 1, address = 10.6.167.25) authenticated
2022-08-10 16:23:44.6754 [INFO; Root]  Player False joined
2022-08-10 16:23:45.0244 [INFO; Root]  RPC RECEIVED True and 1
2022-08-10 16:23:45.0245 [INFO; Root]  HeheTrue
2022-08-10 16:23:45.0431 [INFO; Root]  Start Match!
2022-08-10 16:23:45.0717 [INFO; Root]  5
2022-08-10 16:23:46.8404 [INFO; Root]  server received request to spawn = 1
2022-08-10 16:23:46.8464 [INFO; Root]  IM HERE = Test
2022-08-10 16:23:46.8474 [INFO; Root]  IM HERE2 = Test
2022-08-10 16:23:46.8600 [ERROR; Root]  Exception caught while calling script Initialize.: Object reference not set to an instance of an object.
   at UnitServer.Initialize() in C:\Users\mgantar\Videos\Other\.IOGame\Assets\ReactorScripts\Editor\Server\UnitServer.cs:line 18
   at KS.Reactor.ksScriptList`2.InitializeAll()
2022-08-10 16:23:46.8728 [INFO; Root]  he
2022-08-10 16:23:46.8788 [INFO; Root]  he
2022-08-10 16:23:46.8788 [INFO; Root]  he
2022-08-10 16:23:46.8818 [INFO; Root]  he
2022-08-10 16:23:46.8988 [INFO; Root]  he
2022-08-10 16:23:46.9154 [INFO; Root]  he
2022-08-10 16:23:46.9316 [INFO; Root]  he
2022-08-10 16:23:46.9477 [INFO; Root]  he
2022-08-10 16:23:46.9649 [INFO; Root]  he
2022-08-10 16:23:46.9811 [INFO; Root]  he
2022-08-10 16:23:46.9988 [INFO; Root]  he
2022-08-10 16:23:47.0146 [INFO; Root]  he
2022-08-10 16:23:47.0314 [INFO; Root]  he
2022-08-10 16:23:47.0492 [INFO; Root]  he
