2022-08-10 16:22:53.0640 [INFO; Reactor.Server]  Loaded KSServerRuntime.Local.dll
2022-08-10 16:22:53.0921 [INFO; Root]  Loaded config.json
2022-08-10 16:22:53.0921 [INFO; Root]  Loaded config.GameScene.json
2022-08-10 16:22:53.1040 [INFO; Root]  KinematicSoup Technologies Inc.
2022-08-10 16:22:53.1040 [INFO; Root]  Reactor Server v0.10.0
2022-08-10 16:22:53.1040 [DEBUG; Root]  Could not open model file: model.bin. Compression will use the default model for sync transforms, and dynamic models for update transforms.
2022-08-10 16:22:53.1082 [INFO; Reactor.Server]  Missing API configuration. PlayerAPI features disabled.
2022-08-10 16:22:53.1299 [DEBUG; Root]  Loading Asset Scripts
2022-08-10 16:22:53.1329 [DEBUG; Root]  Loading Room Configs
2022-08-10 16:22:53.1455 [DEBUG; Root]  Initializing PhysX
2022-08-10 16:22:53.1831 [DEBUG; Root]  Loading PhysX geometry
2022-08-10 16:22:53.2024 [INFO; Root]  Loaded 8 geometries
2022-08-10 16:22:53.2034 [INFO; Root]  Loaded 2 geometries
2022-08-10 16:22:53.2034 [DEBUG; Root]  Loading entity prefabs
2022-08-10 16:22:53.2255 [INFO; Root]  Loaded 5 entity prefabs
2022-08-10 16:22:53.2255 [DEBUG; Root]  Loading entity instances
2022-08-10 16:22:53.2509 [DEBUG; Root]  Initializing scripts
2022-08-10 16:22:53.2649 [DEBUG; Root]  Room setup complete
2022-08-10 16:22:53.2659 [INFO; Reactor.ServerRoom]  Starting room 1
2022-08-10 16:22:53.2659 [INFO; Root]  Sending client updates every 2 frames
2022-08-10 16:22:53.2659 [INFO; Root]  Attempting to sync simulation time to match elapsed time.
2022-08-10 16:22:53.2669 [INFO; Root]  Opening TCP port 8000
2022-08-10 16:23:01.4452 [INFO; Root]  Client(id = 1, address = 10.6.167.25) connected
2022-08-10 16:23:01.4505 [DEBUG; Root]  Client(id = 1, address = 10.6.167.25) model validated
2022-08-10 16:23:01.4892 [DEBUG; Root]  Client(id = 1, address = 10.6.167.25) authenticated
2022-08-10 16:23:01.5130 [INFO; Root]  Player False joined
2022-08-10 16:23:01.9505 [INFO; Root]  RPC RECEIVED True and 1
2022-08-10 16:23:01.9505 [INFO; Root]  HeheTrue
2022-08-10 16:23:01.9721 [INFO; Root]  Start Match!
2022-08-10 16:23:02.0042 [INFO; Root]  5
2022-08-10 16:23:04.7674 [INFO; Root]  server received request to spawn = 1
2022-08-10 16:23:04.7724 [INFO; Root]  IM HERE = Test
2022-08-10 16:23:04.7724 [INFO; Root]  IM HERE2 = Test
2022-08-10 16:23:04.7724 [INFO; Root]  IM HERE3 = Test
2022-08-10 16:23:04.7876 [INFO; Root]  he
2022-08-10 16:23:04.7916 [INFO; Root]  he
2022-08-10 16:23:04.7916 [INFO; Root]  he
2022-08-10 16:23:04.8006 [INFO; Root]  he
2022-08-10 16:23:04.8192 [INFO; Root]  he
2022-08-10 16:23:04.8347 [INFO; Root]  he
2022-08-10 16:23:04.8504 [INFO; Root]  he
2022-08-10 16:23:04.8674 [INFO; Root]  he
2022-08-10 16:23:04.8875 [INFO; Root]  he
2022-08-10 16:23:04.9023 [INFO; Root]  he
2022-08-10 16:23:04.9180 [INFO; Root]  he
2022-08-10 16:23:04.9348 [INFO; Root]  he
2022-08-10 16:23:04.9524 [INFO; Root]  he
2022-08-10 16:23:04.9680 [INFO; Root]  he
2022-08-10 16:23:04.9841 [INFO; Root]  he
2022-08-10 16:23:05.0016 [INFO; Root]  he
2022-08-10 16:23:05.0175 [INFO; Root]  he
2022-08-10 16:23:05.0346 [INFO; Root]  he
2022-08-10 16:23:05.0512 [INFO; Root]  he
2022-08-10 16:23:05.0673 [INFO; Root]  he
2022-08-10 16:23:05.0859 [INFO; Root]  he
2022-08-10 16:23:05.1012 [INFO; Root]  he
2022-08-10 16:23:05.1176 [INFO; Root]  he
2022-08-10 16:23:05.1354 [INFO; Root]  he
2022-08-10 16:23:05.1512 [INFO; Root]  he
2022-08-10 16:23:05.1679 [INFO; Root]  he
2022-08-10 16:23:05.1853 [INFO; Root]  he
2022-08-10 16:23:05.2012 [INFO; Root]  he
2022-08-10 16:23:05.2186 [INFO; Root]  he
2022-08-10 16:23:05.2352 [INFO; Root]  he
2022-08-10 16:23:05.2552 [INFO; Root]  he
2022-08-10 16:23:05.2683 [INFO; Root]  he
2022-08-10 16:23:05.2838 [INFO; Root]  he
2022-08-10 16:23:05.3018 [INFO; Root]  he
2022-08-10 16:23:05.3174 [INFO; Root]  he
2022-08-10 16:23:05.3357 [INFO; Root]  he
2022-08-10 16:23:05.3513 [INFO; Root]  he
2022-08-10 16:23:05.3679 [INFO; Root]  he
2022-08-10 16:23:05.3842 [INFO; Root]  he
2022-08-10 16:23:05.4010 [INFO; Root]  he
2022-08-10 16:23:05.4170 [INFO; Root]  he
2022-08-10 16:23:05.4355 [INFO; Root]  he
2022-08-10 16:23:05.4529 [INFO; Root]  he
2022-08-10 16:23:05.4682 [INFO; Root]  he
2022-08-10 16:23:05.4846 [INFO; Root]  he
2022-08-10 16:23:05.5011 [INFO; Root]  he
2022-08-10 16:23:05.5168 [INFO; Root]  he
2022-08-10 16:23:05.5343 [INFO; Root]  he
2022-08-10 16:23:05.5512 [INFO; Root]  he
2022-08-10 16:23:05.5672 [INFO; Root]  he
2022-08-10 16:23:05.5846 [INFO; Root]  he
2022-08-10 16:23:05.6012 [INFO; Root]  he
2022-08-10 16:23:05.6179 [INFO; Root]  he
2022-08-10 16:23:05.6342 [INFO; Root]  he
2022-08-10 16:23:05.6514 [INFO; Root]  he
2022-08-10 16:23:05.6680 [INFO; Root]  he
2022-08-10 16:23:05.6840 [INFO; Root]  he
2022-08-10 16:23:05.7007 [INFO; Root]  he
2022-08-10 16:23:05.7188 [INFO; Root]  he
2022-08-10 16:23:05.7343 [INFO; Root]  he
2022-08-10 16:23:05.7504 [INFO; Root]  he
2022-08-10 16:23:05.7676 [INFO; Root]  he
2022-08-10 16:23:05.7848 [INFO; Root]  he
2022-08-10 16:23:05.8004 [INFO; Root]  he
2022-08-10 16:23:05.8173 [INFO; Root]  he
2022-08-10 16:23:05.8357 [INFO; Root]  he
2022-08-10 16:23:05.8502 [INFO; Root]  he
2022-08-10 16:23:05.8687 [INFO; Root]  he
2022-08-10 16:23:05.8848 [INFO; Root]  he
2022-08-10 16:23:05.9013 [INFO; Root]  he
2022-08-10 16:23:05.9180 [INFO; Root]  he
2022-08-10 16:23:05.9342 [INFO; Root]  he
2022-08-10 16:23:05.9515 [INFO; Root]  he
2022-08-10 16:23:05.9673 [INFO; Root]  he
2022-08-10 16:23:05.9848 [INFO; Root]  he
2022-08-10 16:23:06.0009 [INFO; Root]  he
2022-08-10 16:23:06.0179 [INFO; Root]  he
2022-08-10 16:23:06.0343 [INFO; Root]  he
2022-08-10 16:23:06.0515 [INFO; Root]  he
2022-08-10 16:23:06.0677 [INFO; Root]  he
2022-08-10 16:23:06.0842 [INFO; Root]  he
2022-08-10 16:23:06.1017 [INFO; Root]  he
2022-08-10 16:23:06.1181 [INFO; Root]  he
2022-08-10 16:23:06.1334 [INFO; Root]  he
2022-08-10 16:23:06.1517 [INFO; Root]  he
2022-08-10 16:23:06.1678 [INFO; Root]  he
2022-08-10 16:23:06.1850 [INFO; Root]  he
2022-08-10 16:23:06.2012 [INFO; Root]  he
2022-08-10 16:23:06.2179 [INFO; Root]  he
2022-08-10 16:23:06.2346 [INFO; Root]  he
2022-08-10 16:23:06.2510 [INFO; Root]  he
2022-08-10 16:23:06.2676 [INFO; Root]  he
2022-08-10 16:23:06.2845 [INFO; Root]  he
2022-08-10 16:23:06.3013 [INFO; Root]  he
2022-08-10 16:23:06.3186 [INFO; Root]  he
2022-08-10 16:23:06.3352 [INFO; Root]  he
2022-08-10 16:23:06.3511 [INFO; Root]  he
2022-08-10 16:23:06.3672 [INFO; Root]  he
2022-08-10 16:23:06.3854 [INFO; Root]  he
2022-08-10 16:23:06.4018 [INFO; Root]  he
2022-08-10 16:23:06.4179 [INFO; Root]  he
2022-08-10 16:23:06.4344 [INFO; Root]  he
2022-08-10 16:23:06.4514 [INFO; Root]  he
2022-08-10 16:23:06.4682 [INFO; Root]  he
2022-08-10 16:23:06.4842 [INFO; Root]  he
2022-08-10 16:23:06.5008 [INFO; Root]  he
2022-08-10 16:23:06.5174 [INFO; Root]  he
2022-08-10 16:23:06.5342 [INFO; Root]  he
2022-08-10 16:23:06.5503 [INFO; Root]  he
2022-08-10 16:23:06.5682 [INFO; Root]  he
2022-08-10 16:23:06.5848 [INFO; Root]  he
2022-08-10 16:23:06.6021 [INFO; Root]  he
2022-08-10 16:23:06.6177 [INFO; Root]  he
2022-08-10 16:23:06.6343 [INFO; Root]  he
2022-08-10 16:23:06.6506 [INFO; Root]  he
2022-08-10 16:23:06.6680 [INFO; Root]  he
2022-08-10 16:23:06.6846 [INFO; Root]  he
2022-08-10 16:23:06.7006 [INFO; Root]  he
2022-08-10 16:23:06.7183 [INFO; Root]  he
2022-08-10 16:23:06.7350 [INFO; Root]  he
2022-08-10 16:23:06.7520 [INFO; Root]  he
2022-08-10 16:23:06.7687 [INFO; Root]  he
2022-08-10 16:23:06.7846 [INFO; Root]  he
2022-08-10 16:23:06.8018 [INFO; Root]  he
2022-08-10 16:23:06.8176 [INFO; Root]  he
2022-08-10 16:23:06.8341 [INFO; Root]  he
2022-08-10 16:23:06.8515 [INFO; Root]  he
2022-08-10 16:23:06.8679 [INFO; Root]  he
2022-08-10 16:23:06.8841 [INFO; Root]  he
2022-08-10 16:23:06.9016 [INFO; Root]  he
2022-08-10 16:23:06.9185 [INFO; Root]  he
2022-08-10 16:23:06.9352 [INFO; Root]  he
2022-08-10 16:23:06.9512 [INFO; Root]  he
2022-08-10 16:23:06.9688 [INFO; Root]  he
2022-08-10 16:23:06.9848 [INFO; Root]  he
2022-08-10 16:23:07.0010 [INFO; Root]  he
2022-08-10 16:23:07.0179 [INFO; Root]  he
2022-08-10 16:23:07.0355 [INFO; Root]  he
