2022-08-10 16:24:48.4422 [INFO; Reactor.Server]  Loaded KSServerRuntime.Local.dll
2022-08-10 16:24:48.4854 [INFO; Root]  Loaded config.json
2022-08-10 16:24:48.4854 [INFO; Root]  Loaded config.GameScene.json
2022-08-10 16:24:48.5032 [INFO; Root]  KinematicSoup Technologies Inc.
2022-08-10 16:24:48.5032 [INFO; Root]  Reactor Server v0.10.0
2022-08-10 16:24:48.5041 [DEBUG; Root]  Could not open model file: model.bin. Compression will use the default model for sync transforms, and dynamic models for update transforms.
2022-08-10 16:24:48.5089 [INFO; Reactor.Server]  Missing API configuration. PlayerAPI features disabled.
2022-08-10 16:24:48.5311 [DEBUG; Root]  Loading Asset Scripts
2022-08-10 16:24:48.5364 [DEBUG; Root]  Loading Room Configs
2022-08-10 16:24:48.5458 [DEBUG; Root]  Initializing PhysX
2022-08-10 16:24:48.5750 [DEBUG; Root]  Loading PhysX geometry
2022-08-10 16:24:48.5910 [INFO; Root]  Loaded 8 geometries
2022-08-10 16:24:48.5920 [INFO; Root]  Loaded 2 geometries
2022-08-10 16:24:48.5920 [DEBUG; Root]  Loading entity prefabs
2022-08-10 16:24:48.6130 [INFO; Root]  Loaded 5 entity prefabs
2022-08-10 16:24:48.6130 [DEBUG; Root]  Loading entity instances
2022-08-10 16:24:48.6415 [DEBUG; Root]  Initializing scripts
2022-08-10 16:24:48.6565 [DEBUG; Root]  Room setup complete
2022-08-10 16:24:48.6565 [INFO; Reactor.ServerRoom]  Starting room 1
2022-08-10 16:24:48.6565 [INFO; Root]  Sending client updates every 2 frames
2022-08-10 16:24:48.6565 [INFO; Root]  Attempting to sync simulation time to match elapsed time.
2022-08-10 16:24:48.6575 [INFO; Root]  Opening TCP port 8000
2022-08-10 16:24:54.4132 [INFO; Root]  Client(id = 1, address = 10.6.167.25) connected
2022-08-10 16:24:54.4179 [DEBUG; Root]  Client(id = 1, address = 10.6.167.25) model validated
2022-08-10 16:24:54.4624 [DEBUG; Root]  Client(id = 1, address = 10.6.167.25) authenticated
2022-08-10 16:24:54.4836 [INFO; Root]  Player False joined
2022-08-10 16:24:54.9019 [INFO; Root]  RPC RECEIVED True and 1
2022-08-10 16:24:54.9030 [INFO; Root]  HeheTrue
2022-08-10 16:24:54.9211 [INFO; Root]  Start Match!
2022-08-10 16:24:54.9460 [INFO; Root]  5
2022-08-10 16:24:56.6721 [INFO; Root]  server received request to spawn = 0
2022-08-10 16:24:56.6940 [INFO; Root]  Collect 4
2022-08-10 16:24:56.6971 [INFO; Root]  Collect 4
2022-08-10 16:24:56.7033 [INFO; Root]  Collect 4
2022-08-10 16:24:56.7083 [INFO; Root]  Collect 4
2022-08-10 16:24:56.7264 [INFO; Root]  Collect 4
2022-08-10 16:24:56.7421 [INFO; Root]  Collect 4
2022-08-10 16:24:56.7586 [INFO; Root]  Collect 4
2022-08-10 16:24:56.7767 [INFO; Root]  Collect 4
2022-08-10 16:24:56.7931 [INFO; Root]  Collect 4
2022-08-10 16:24:56.8096 [INFO; Root]  Collect 4
2022-08-10 16:24:56.8251 [INFO; Root]  Collect 4
2022-08-10 16:24:56.8428 [INFO; Root]  Collect 4
2022-08-10 16:24:56.8587 [INFO; Root]  Collect 4
2022-08-10 16:24:56.8770 [INFO; Root]  Collect 4
2022-08-10 16:24:56.8932 [INFO; Root]  Collect 4
2022-08-10 16:24:56.9095 [INFO; Root]  Collect 4
2022-08-10 16:24:56.9261 [INFO; Root]  Collect 4
2022-08-10 16:24:56.9426 [INFO; Root]  Collect 4
2022-08-10 16:24:56.9590 [INFO; Root]  Collect 4
2022-08-10 16:24:56.9759 [INFO; Root]  Collect 4
2022-08-10 16:24:56.9923 [INFO; Root]  Collect 4
2022-08-10 16:24:57.0083 [INFO; Root]  Collect 4
2022-08-10 16:24:57.0253 [INFO; Root]  Collect 4
2022-08-10 16:24:57.0418 [INFO; Root]  Collect 4
2022-08-10 16:24:57.0597 [INFO; Root]  Collect 4
2022-08-10 16:24:57.0755 [INFO; Root]  Collect 4
2022-08-10 16:24:57.0929 [INFO; Root]  Collect 4
2022-08-10 16:24:57.1091 [INFO; Root]  Collect 4
2022-08-10 16:24:57.1254 [INFO; Root]  Collect 4
2022-08-10 16:24:57.1433 [INFO; Root]  Collect 4
2022-08-10 16:24:57.1590 [INFO; Root]  Collect 4
2022-08-10 16:24:57.1749 [INFO; Root]  Collect 4
2022-08-10 16:24:57.1919 [INFO; Root]  Collect 4
2022-08-10 16:24:57.2089 [INFO; Root]  Collect 4
2022-08-10 16:24:57.2252 [INFO; Root]  Collect 4
2022-08-10 16:24:57.2422 [INFO; Root]  Collect 4
2022-08-10 16:24:57.2592 [INFO; Root]  Collect 4
2022-08-10 16:24:57.2752 [INFO; Root]  Collect 4
2022-08-10 16:24:57.2934 [INFO; Root]  Collect 4
2022-08-10 16:24:57.3086 [INFO; Root]  Collect 4
2022-08-10 16:24:57.3262 [INFO; Root]  Collect 4
2022-08-10 16:24:57.3438 [INFO; Root]  Collect 4
2022-08-10 16:24:57.3595 [INFO; Root]  Collect 4
2022-08-10 16:24:57.3756 [INFO; Root]  Collect 4
2022-08-10 16:24:57.3939 [INFO; Root]  Collect 4
2022-08-10 16:24:57.4089 [INFO; Root]  Collect 4
2022-08-10 16:24:57.4271 [INFO; Root]  Collect 4
2022-08-10 16:24:57.4444 [INFO; Root]  Collect 4
2022-08-10 16:24:57.4585 [INFO; Root]  Collect 4
2022-08-10 16:24:57.4750 [INFO; Root]  Collect 4
2022-08-10 16:24:57.4930 [INFO; Root]  Collect 4
2022-08-10 16:24:57.5092 [INFO; Root]  Collect 4
2022-08-10 16:24:57.5264 [INFO; Root]  Collect 4
2022-08-10 16:24:57.5434 [INFO; Root]  Collect 4
2022-08-10 16:24:57.5591 [INFO; Root]  Collect 4
2022-08-10 16:24:57.5762 [INFO; Root]  Collect 4
2022-08-10 16:24:57.5927 [INFO; Root]  Collect 4
2022-08-10 16:24:57.6087 [INFO; Root]  Collect 4
2022-08-10 16:24:57.6273 [INFO; Root]  Collect 4
2022-08-10 16:24:57.6423 [INFO; Root]  Collect 4
2022-08-10 16:24:57.6586 [INFO; Root]  Collect 4
2022-08-10 16:24:57.6752 [INFO; Root]  Collect 4
2022-08-10 16:24:57.6922 [INFO; Root]  Collect 4
2022-08-10 16:24:57.7103 [INFO; Root]  Collect 4
2022-08-10 16:24:57.7263 [INFO; Root]  Collect 4
2022-08-10 16:24:57.7425 [INFO; Root]  Collect 4
2022-08-10 16:24:57.7595 [INFO; Root]  Collect 4
2022-08-10 16:24:57.7755 [INFO; Root]  Collect 4
2022-08-10 16:24:57.7922 [INFO; Root]  Collect 4
2022-08-10 16:24:57.8111 [INFO; Root]  Collect 4
2022-08-10 16:24:57.8260 [INFO; Root]  Collect 4
2022-08-10 16:24:57.8440 [INFO; Root]  Collect 4
2022-08-10 16:24:57.8591 [INFO; Root]  Collect 4
2022-08-10 16:24:57.8765 [INFO; Root]  Collect 4
2022-08-10 16:24:57.8927 [INFO; Root]  Collect 4
2022-08-10 16:24:57.9097 [INFO; Root]  Collect 4
2022-08-10 16:24:57.9263 [INFO; Root]  Collect 4
2022-08-10 16:24:57.9435 [INFO; Root]  Collect 4
2022-08-10 16:24:57.9638 [INFO; Root]  Collect 4
2022-08-10 16:24:57.9771 [INFO; Root]  Collect 3
2022-08-10 16:24:57.9925 [INFO; Root]  Collect 3
2022-08-10 16:24:58.0091 [INFO; Root]  Collect 3
2022-08-10 16:24:58.0271 [INFO; Root]  Collect 3
2022-08-10 16:24:58.0419 [INFO; Root]  Collect 3
2022-08-10 16:24:58.0603 [INFO; Root]  Collect 3
2022-08-10 16:24:58.0750 [INFO; Root]  Collect 3
2022-08-10 16:24:58.0962 [INFO; Root]  Collect 3
2022-08-10 16:24:58.1092 [INFO; Root]  Collect 3
2022-08-10 16:24:58.1256 [INFO; Root]  Collect 3
2022-08-10 16:24:58.1427 [INFO; Root]  Collect 3
2022-08-10 16:24:58.1588 [INFO; Root]  Collect 3
2022-08-10 16:24:58.1766 [INFO; Root]  Collect 3
2022-08-10 16:24:58.1926 [INFO; Root]  Collect 3
2022-08-10 16:24:58.2093 [INFO; Root]  Collect 3
2022-08-10 16:24:58.2259 [INFO; Root]  Collect 3
2022-08-10 16:24:58.2419 [INFO; Root]  Collect 3
2022-08-10 16:24:58.2604 [INFO; Root]  Collect 3
2022-08-10 16:24:58.2761 [INFO; Root]  Collect 3
2022-08-10 16:24:58.2928 [INFO; Root]  Collect 3
2022-08-10 16:24:58.3093 [INFO; Root]  Collect 3
2022-08-10 16:24:58.3250 [INFO; Root]  Collect 3
2022-08-10 16:24:58.3428 [INFO; Root]  Collect 3
2022-08-10 16:24:58.3594 [INFO; Root]  Collect 3
