2022-11-02 16:20:59.2425 [INFO; Reactor.Server]  Loaded KSServerRuntime.Local.dll
2022-11-02 16:20:59.2691 [INFO; Root]  Loaded config.json
2022-11-02 16:20:59.2714 [INFO; Root]  Loaded config.GameScene.json
2022-11-02 16:20:59.2814 [INFO; Root]  KinematicSoup Technologies Inc.
2022-11-02 16:20:59.2814 [INFO; Root]  Reactor Server v0.10.0
2022-11-02 16:20:59.2824 [DEBUG; Root]  Could not open model file: model.bin. Compression will use the default model for sync transforms, and dynamic models for update transforms.
2022-11-02 16:20:59.2834 [INFO; Reactor.Server]  Missing API configuration. PlayerAPI features disabled.
2022-11-02 16:20:59.3010 [DEBUG; Root]  Loading Asset Scripts
2022-11-02 16:20:59.3045 [DEBUG; Root]  Loading Room Configs
2022-11-02 16:20:59.3159 [DEBUG; Root]  Initializing PhysX
2022-11-02 16:20:59.3580 [DEBUG; Root]  Loading PhysX geometry
2022-11-02 16:20:59.3768 [INFO; Root]  Loaded 7 geometries
2022-11-02 16:20:59.3778 [INFO; Root]  Loaded 2 geometries
2022-11-02 16:20:59.3778 [DEBUG; Root]  Loading entity prefabs
2022-11-02 16:20:59.3984 [INFO; Root]  Loaded 5 entity prefabs
2022-11-02 16:20:59.3984 [DEBUG; Root]  Loading entity instances
2022-11-02 16:20:59.4219 [DEBUG; Root]  Initializing scripts
2022-11-02 16:20:59.4326 [DEBUG; Root]  Room setup complete
2022-11-02 16:20:59.4337 [INFO; Reactor.ServerRoom]  Starting room 1
2022-11-02 16:20:59.4337 [INFO; Root]  Sending client updates every 2 frames
2022-11-02 16:20:59.4337 [INFO; Root]  Attempting to sync simulation time to match elapsed time.
2022-11-02 16:20:59.4346 [INFO; Root]  Opening TCP port 8000
2022-11-02 16:21:02.9750 [INFO; Root]  Client(id = 1, address = 10.6.167.36) connected
2022-11-02 16:21:02.9760 [DEBUG; Root]  Client(id = 1, address = 10.6.167.36) model validated
2022-11-02 16:21:03.0094 [DEBUG; Root]  Client(id = 1, address = 10.6.167.36) authenticated
2022-11-02 16:21:03.0251 [INFO; Root]  Player False joined
2022-11-02 16:21:04.1514 [INFO; Root]  20
2022-11-02 16:21:19.2539 [INFO; Root]  cluster food
2022-11-02 16:21:19.3686 [INFO; Root]  cluster food
2022-11-02 16:21:19.4855 [INFO; Root]  cluster food
2022-11-02 16:21:19.6027 [INFO; Root]  cluster food
2022-11-02 16:21:19.7189 [INFO; Root]  cluster food
2022-11-02 16:21:19.8360 [INFO; Root]  cluster food
2022-11-02 16:21:19.9517 [INFO; Root]  cluster food
2022-11-02 16:21:20.0696 [INFO; Root]  cluster food
2022-11-02 16:21:20.1861 [INFO; Root]  cluster food
2022-11-02 16:21:20.3023 [INFO; Root]  cluster food
2022-11-02 16:21:20.4185 [INFO; Root]  cluster food
2022-11-02 16:21:20.5357 [INFO; Root]  cluster food
2022-11-02 16:21:20.6523 [INFO; Root]  cluster food
2022-11-02 16:21:20.7684 [INFO; Root]  cluster food
2022-11-02 16:21:20.8856 [INFO; Root]  cluster food
2022-11-02 16:21:21.0024 [INFO; Root]  cluster food
2022-11-02 16:21:21.1190 [INFO; Root]  cluster food
2022-11-02 16:21:21.2361 [INFO; Root]  cluster food
2022-11-02 16:21:21.3525 [INFO; Root]  cluster food
2022-11-02 16:21:21.4687 [INFO; Root]  cluster food
2022-11-02 16:21:21.5856 [INFO; Root]  cluster food
2022-11-02 16:21:21.7018 [INFO; Root]  cluster food
2022-11-02 16:21:21.8188 [INFO; Root]  cluster food
2022-11-02 16:21:21.9356 [INFO; Root]  cluster food
2022-11-02 16:21:22.0520 [INFO; Root]  cluster food
2022-11-02 16:21:22.1689 [INFO; Root]  cluster food
2022-11-02 16:21:22.2859 [INFO; Root]  cluster food
2022-11-02 16:21:22.4015 [INFO; Root]  cluster food
2022-11-02 16:21:22.5189 [INFO; Root]  cluster food
2022-11-02 16:21:22.6355 [INFO; Root]  cluster food
2022-11-02 16:21:22.7522 [INFO; Root]  cluster food
